program,start_time,end_time,start_cycles,end_cycles
zero-copy,2025-12-11 09:21:38.029487359,2025-12-11 09:21:40.318222837,741652458692457,741658434834477
zero-copy,2025-12-11 09:21:40.326342070,2025-12-11 09:21:43.612221578,741658456101487,741667035927639
zero-copy,2025-12-11 09:21:43.621182903,2025-12-11 09:21:45.349588868,741667059391991,741671572426213
zero-copy,2025-12-11 09:21:45.357184361,2025-12-11 09:21:48.959239310,741671592334757,741680997719343
zero-copy,2025-12-11 09:21:48.968226314,2025-12-11 09:21:51.117231014,741681021270693,741686632541151
zero-copy,2025-12-11 09:21:51.123181675,2025-12-11 09:21:53.897221053,741686648160819,741693891496463
zero-copy,2025-12-11 09:21:53.906326751,2025-12-11 09:21:57.549221368,741693915342205,741703427382011
zero-copy,2025-12-11 09:21:57.555325085,2025-12-11 09:22:00.271222714,741703443387755,741710534911153
zero-copy,2025-12-11 09:22:00.276317863,2025-12-11 09:22:03.591226336,741710548280907,741719203892321
zero-copy,2025-12-11 09:22:03.604180485,2025-12-11 09:22:07.241219830,741719237796249,741728734552203
async,2025-12-11 09:22:08.247193044,2025-12-11 09:22:32.273147621,741731361352361,741794096419113
async,2025-12-11 09:22:33.281199411,2025-12-11 09:22:57.239717496,741796728651143,741859287620945
async,2025-12-11 09:22:58.249312838,2025-12-11 09:23:22.160430800,741861923897257,741924359118049
async,2025-12-11 09:23:23.166293647,2025-12-11 09:23:47.228527606,741926985631729,741989815440015
async,2025-12-11 09:23:48.238294360,2025-12-11 09:24:12.182111691,741992452147683,742054972746117
async,2025-12-11 09:24:13.205302167,2025-12-11 09:24:37.177241039,742057644515023,742120238553037
async,2025-12-11 09:24:38.190292295,2025-12-11 09:25:04.902758335,742122883839185,742192633752383
async,2025-12-11 09:25:05.916298415,2025-12-11 09:25:32.690832319,742195280344421,742265192353721
async,2025-12-11 09:25:33.708305189,2025-12-11 09:26:00.293349546,742267849189461,742337266419645
async,2025-12-11 09:26:01.304302281,2025-12-11 09:26:31.337292088,742339906228159,742418326525899
baseline,2025-12-11 09:26:31.345324885,2025-12-11 09:26:43.510396482,742418347575903,742450112233351
baseline,2025-12-11 09:26:43.520257004,2025-12-11 09:26:55.685859330,742450138041929,742481904080811
baseline,2025-12-11 09:26:55.694183582,2025-12-11 09:27:06.716251476,742481925882783,742510705987541
baseline,2025-12-11 09:27:06.725196992,2025-12-11 09:27:17.761455512,742510729416335,742539546584391
baseline,2025-12-11 09:27:17.767290265,2025-12-11 09:27:28.785717547,742539561881355,742568332489625
baseline,2025-12-11 09:27:28.795186874,2025-12-11 09:27:39.796980830,742568357277179,742597084451401
baseline,2025-12-11 09:27:39.810296193,2025-12-11 09:27:50.827776960,742597119283929,742625887417597
baseline,2025-12-11 09:27:50.836333635,2025-12-11 09:28:03.034479551,742625909825899,742657760830227
baseline,2025-12-11 09:28:03.038941857,2025-12-11 09:28:13.985909831,742657772560817,742686356562845
baseline,2025-12-11 09:28:13.991197510,2025-12-11 09:28:24.963703503,742686370448701,742715021141479
