locking,job,threads,keys,duration,cycles
coarse,write_only,1,10000,0.00905439,23641886
coarse,read_only,1,10000,0.00119018,3106488
coarse,read_write,1,10000,0.00416051,10863536
coarse,write_only,1,100000,0.0191218,49928570
coarse,read_only,1,100000,0.00118442,3092546
coarse,read_write,1,100000,0.00832548,21738124
coarse,write_only,1,1000000,0.023241,60683956
coarse,read_only,1,1000000,0.00112456,2936332
coarse,read_write,1,1000000,0.0105388,27516310
coarse,write_only,2,10000,0.00926159,24182972
coarse,read_only,2,10000,0.00127081,3317672
coarse,read_write,2,10000,0.00406942,10625774
coarse,write_only,2,100000,0.0187342,48916408
coarse,read_only,2,100000,0.00122642,3202278
coarse,read_write,2,100000,0.00747653,19521850
coarse,write_only,2,1000000,0.0236364,61716740
coarse,read_only,2,1000000,0.00117113,3057862
coarse,read_write,2,1000000,0.00913705,23857792
coarse,write_only,4,10000,0.00900652,23517054
coarse,read_only,4,10000,0.00136289,3558250
coarse,read_write,4,10000,0.00411852,10753556
coarse,write_only,4,100000,0.0191264,49939730
coarse,read_only,4,100000,0.00119042,3108250
coarse,read_write,4,100000,0.00738457,19281634
coarse,write_only,4,1000000,0.0232269,60647296
coarse,read_only,4,1000000,0.00114833,2998348
coarse,read_write,4,1000000,0.00930489,24295800
coarse,write_only,8,10000,0.0094136,24579528
coarse,read_only,8,10000,0.00128609,3357910
coarse,read_write,8,10000,0.00407559,10641774
coarse,write_only,8,100000,0.0198278,51770990
coarse,read_only,8,100000,0.0011728,3062226
coarse,read_write,8,100000,0.00703979,18380856
coarse,write_only,8,1000000,0.0231832,60533262
coarse,read_only,8,1000000,0.00120391,3143302
coarse,read_write,8,1000000,0.00903755,23597188
coarse,write_only,12,10000,0.00919271,24002968
coarse,read_only,12,10000,0.00141553,3695024
coarse,read_write,12,10000,0.00420553,10981126
coarse,write_only,12,100000,0.0194831,50871156
coarse,read_only,12,100000,0.001194,3117620
coarse,read_write,12,100000,0.00724946,18928604
coarse,write_only,12,1000000,0.0238389,62245224
coarse,read_only,12,1000000,0.00123238,3217808
coarse,read_write,12,1000000,0.00950268,24811802
coarse,write_only,1,10000,0.00906932,23680744
coarse,read_only,1,10000,0.00131856,3442696
coarse,read_write,1,10000,0.00420756,10985896
coarse,write_only,1,100000,0.0181663,47433274
coarse,read_only,1,100000,0.00116566,3043630
coarse,read_write,1,100000,0.00789827,20622606
coarse,write_only,1,1000000,0.0235544,61502350
coarse,read_only,1,1000000,0.00116422,3039842
coarse,read_write,1,1000000,0.00907959,23707740
coarse,write_only,2,10000,0.00902604,23568000
coarse,read_only,2,10000,0.00128441,3352958
coarse,read_write,2,10000,0.00407395,10637532
coarse,write_only,2,100000,0.0180415,47107730
coarse,read_only,2,100000,0.00115167,3006908
coarse,read_write,2,100000,0.00852461,22257932
coarse,write_only,2,1000000,0.0232848,60798564
coarse,read_only,2,1000000,0.00117444,3066544
coarse,read_write,2,1000000,0.00867743,22657128
coarse,write_only,4,10000,0.0090798,23708438
coarse,read_only,4,10000,0.00132906,3469766
coarse,read_write,4,10000,0.00420566,10981308
coarse,write_only,4,100000,0.0190095,49634442
coarse,read_only,4,100000,0.00121016,3159588
coarse,read_write,4,100000,0.00771025,20131974
coarse,write_only,4,1000000,0.0232705,60760996
coarse,read_only,4,1000000,0.00118292,3088640
coarse,read_write,4,1000000,0.00895697,23386730
coarse,write_only,8,10000,0.00952553,24871414
coarse,read_only,8,10000,0.00128746,3361340
coarse,read_write,8,10000,0.00404583,10564116
coarse,write_only,8,100000,0.0186034,48574338
coarse,read_only,8,100000,0.00124217,3243350
coarse,read_write,8,100000,0.00758801,19812766
coarse,write_only,8,1000000,0.023518,61406902
coarse,read_only,8,1000000,0.00121719,3178124
coarse,read_write,8,1000000,0.00898323,23455656
coarse,write_only,12,10000,0.00927995,24230570
coarse,read_only,12,10000,0.00133527,3486150
coarse,read_write,12,10000,0.00421576,11007664
coarse,write_only,12,100000,0.0197925,51679434
coarse,read_only,12,100000,0.00121011,3159660
coarse,read_write,12,100000,0.00746118,19481424
coarse,write_only,12,1000000,0.0238986,62400510
coarse,read_only,12,1000000,0.00122592,3200922
coarse,read_write,12,1000000,0.00890002,23238568
coarse,write_only,1,10000,0.00908445,23720428
coarse,read_only,1,10000,0.0013257,3460708
coarse,read_write,1,10000,0.00408992,10679308
coarse,write_only,1,100000,0.0187746,49021932
coarse,read_only,1,100000,0.00117148,3058768
coarse,read_write,1,100000,0.00781127,20396046
coarse,write_only,1,1000000,0.0234972,61352694
coarse,read_only,1,1000000,0.00116131,3032268
coarse,read_write,1,1000000,0.0086882,22684404
coarse,write_only,2,10000,0.00910152,23764858
coarse,read_only,2,10000,0.00128677,3359272
coarse,read_write,2,10000,0.00409771,10699408
coarse,write_only,2,100000,0.0192474,50256006
coarse,read_only,2,100000,0.00119972,3132404
coarse,read_write,2,100000,0.00764126,19952200
coarse,write_only,2,1000000,0.0235961,61611286
coarse,read_only,2,1000000,0.0011833,3089652
coarse,read_write,2,1000000,0.00902895,23575666
coarse,write_only,4,10000,0.00931108,24311684
coarse,read_only,4,10000,0.00126078,3291996
coarse,read_write,4,10000,0.00401756,10490254
coarse,write_only,4,100000,0.0176589,46108578
coarse,read_only,4,100000,0.00124281,3245074
