kernel,length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
streaming_fma,L1_ARR_LENGTH,5341.8,5170,6822,13877,13452,17516
streaming_fma,L2_ARR_LENGTH,149619,132779,216160,390561,346596,564264
streaming_fma,L3_ARR_LENGTH,377189,354598,457643,984059,925130,1193932
streaming_fma,DRAM_ARR_LENGTH,2.33831e+06,2.25616e+06,2.46274e+06,6103782,5889050,6428936
reduction,L1_ARR_LENGTH,19.9,19,24,13,12,14
reduction,L2_ARR_LENGTH,21.2,20,27,14,14,16
reduction,L3_ARR_LENGTH,21,20,25,14,14,16
reduction,DRAM_ARR_LENGTH,19.9,19,24,13,12,14
element_multiply,L1_ARR_LENGTH,5133.1,4642,5965,13353,12072,15526
element_multiply,L2_ARR_LENGTH,163884,149091,218101,427739,389196,569324
element_multiply,L3_ARR_LENGTH,21.5,20,29,14,14,16
element_multiply,DRAM_ARR_LENGTH,21.2,20,26,15,14,16
