length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
5000,1863.4,1849,1919,4808,4784,4824
10000,3415.9,3387,3533,8872,8798,9180
15000,5537.7,5520,5589,14415,14368,14546
20000,6783.6,6765,6794,17669,17622,17698
25000,9193.2,9158,9248,23963,23870,24108
30000,8169.5,7723,8627,21283,20116,22484
35000,9665.1,9081,10883,25177,23654,28368
40000,11097.3,10951,11714,28924,28538,30530
45000,13604.1,12427,18113,35458,32368,47176
50000,13779.5,13677,14322,35918,35650,37332
55000,15572.6,15090,16563,40603,39344,43186
60000,16203.8,15432,17252,42254,40246,44990
65000,18473.5,17790,20196,48168,46398,52650
70000,19615.3,19114,21011,51161,49856,54782
75000,20150.4,19393,23329,52561,50584,60864
80000,22940.5,22020,24601,59829,57428,64168
85000,24337.4,22147,26699,63465,57748,69630
90000,25974.3,23918,28352,67740,62348,73948
95000,27010.1,24862,30136,70434,64822,78544
100000,28746.8,25865,34198,74949,67438,89148
105000,29318.8,27815,31889,76439,72526,83156
110000,30662.5,29712,32562,79960,77484,84922
115000,32083,30299,34240,83667,79010,89298
120000,32607.8,28540,35381,85026,74406,92272
125000,37146.1,34571,49960,96879,90168,130298
130000,38369.4,36404,46136,100070,94950,120250
135000,39732.3,37245,42178,103630,97152,110024
140000,39743.4,36549,44158,103668,95334,115200
145000,40810.5,39808,44099,106450,103826,115038
150000,43316.7,39294,47069,112994,102502,122772
155000,43716.7,42872,45447,114030,111804,118552
160000,44868.9,42122,47928,117043,109886,125018
165000,46864,45405,50499,122255,118440,131706
170000,48342.2,46140,52703,126111,120378,137452
175000,54732.2,52287,57044,142805,136430,148834
180000,53211.9,51622,57501,138811,134648,150012
185000,51692.9,48030,53862,134867,125312,140538
190000,52151.9,48995,57111,136070,127836,149014
195000,56486.2,54422,60637,147385,141996,158198
200000,55020.8,51643,58245,143559,134740,151980
205000,59250.5,56646,62445,154602,147806,162926
210000,58883.1,55282,64827,153648,144252,169178
215000,63246.6,59618,68359,165029,155570,178388
220000,61922.1,58464,66290,161583,152552,172992
225000,64659.8,62050,69240,168721,161910,180658
230000,62976.5,59322,70723,164335,154806,184556
235000,66350.6,61748,74939,173144,161132,195570
240000,67424.9,66069,69806,175945,172404,182166
245000,64763.4,63237,72570,169005,165010,189392
250000,68737.9,64525,74106,179371,168374,193338
255000,72595.8,69312,77217,189421,180860,201408
260000,75555.1,69302,78612,197176,180856,205166
265000,73019.2,69212,76081,190552,180612,198546
270000,77443.6,72969,83514,202106,190430,217960
275000,76057.9,71777,80515,198492,187326,210120
280000,75543.4,72541,79461,197147,189304,207370
285000,77759.7,74119,80736,202939,193438,210708
290000,80372.3,76730,84521,209752,200248,220592
295000,88016.6,82890,95363,229703,216336,248904
300000,92878.7,86567,97841,242387,225940,255366
305000,93588.9,86770,101941,244253,226462,266068
310000,86656.6,82768,93449,226157,216022,243898
315000,88422,83859,93399,230773,218874,243776
320000,90401.7,85525,99807,235935,223216,260448
325000,93809.7,89469,98628,244838,233516,257416
330000,91696.2,85493,95656,239320,223128,249658
335000,96715.3,89427,104191,252421,233404,271862
340000,95349.7,89644,101481,248855,233972,264864
345000,105726,92962,113395,275926,242636,295978
350000,100315,93819,110565,261822,244864,288594
355000,104027,92164,110564,271523,240550,288596
360000,102400,97450,105964,267262,254360,276574
365000,107889,100918,120396,281590,263344,314234
370000,106029,98361,113086,276740,256738,295176
375000,107241,100577,119107,279895,262500,310870
380000,111318,103848,118146,290546,271062,308390
385000,120953,111904,129302,315705,292098,337450
390000,114414,105770,125373,298638,276080,327248
395000,112072,103811,120797,292528,270960,315312
400000,111045,104451,123711,289849,272642,322922
405000,118396,109292,125774,309031,285274,328296
410000,116894,110865,122064,305108,289378,318608
415000,120436,110612,129098,314366,288732,336984
420000,120784,114392,126671,315273,298592,330642
425000,121676,113414,134497,317598,296038,351070
430000,125539,116706,133423,327681,304634,348272
435000,125386,115434,136139,327289,301308,355366
440000,130138,119871,151843,339686,312896,396342
445000,124476,117115,135283,324915,305708,353144
450000,129189,118831,139367,337205,310140,363770
455000,131036,122511,139953,342038,319790,365246
460000,127817,122100,137151,333645,318718,358004
465000,138241,129668,145228,360859,338476,379102
470000,144163,134431,153174,376291,350920,399816
475000,142465,135328,160130,371881,353252,417980
480000,134960,127668,147642,352289,333260,385408
485000,135965,129963,148320,354916,339246,387188
490000,136239,130226,144508,355625,339926,377224
495000,142079,133587,160457,370884,348716,418870
500000,138818,132784,151356,362366,346614,395098
505000,150829,123741,231904,393722,323006,605400
510000,143820,135012,156842,375420,352414,409412
515000,151858,140772,173398,396403,367470,452656
520000,152189,140423,180593,397263,366564,471304
525000,153446,142143,172091,400474,371048,448906
530000,146058,139364,163521,381264,363792,426798
535000,152444,142569,167461,397936,372172,437106
540000,151955,142791,164477,396647,372744,429372
545000,152294,146738,168649,397557,383056,440262
550000,164386,158644,182358,429122,414140,475976
555000,163357,154838,179929,426433,404198,469668
560000,169222,157678,181736,441749,411608,474376
565000,161808,152102,181339,422393,397054,473398
570000,161643,152259,172735,421908,397460,450748
575000,163649,156050,181278,427200,407358,473238
580000,178148,158304,196564,464997,413252,513122
585000,166873,156958,187190,435610,409740,488590
590000,167290,155820,185603,436675,406762,484382
595000,176107,162578,207573,459721,424408,541844
600000,174972,167744,201779,456728,437864,526768
605000,177300,167628,190981,462839,437586,498566
610000,179282,167306,198463,467985,436762,517970
615000,180877,162704,227117,472167,424744,592790
620000,189505,176462,219536,494721,460664,573132
625000,188192,175231,202759,491262,457422,529288
630000,184878,175547,201308,482610,458268,525458
635000,198581,190196,207750,518397,496520,542172
640000,190712,183610,211574,497836,479286,552260
645000,202729,192975,219393,529239,503780,572760
650000,191889,183424,209833,500911,478820,547716
655000,201222,190570,214230,525287,497502,559236
660000,199190,188477,210536,519937,492006,549540
665000,204393,197677,221139,533502,515896,577226
670000,201331,192652,210436,525577,502900,549334
675000,210195,199927,223860,548707,521928,584242
680000,205440,197280,223220,536301,515014,582602
685000,220160,209006,230609,574731,545616,602038
690000,213346,203723,230767,556928,531834,602344
695000,220398,210183,243133,575339,548718,634634
