kernel,length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
streaming_fma,L1_ARR_LENGTH,12277,7477,53307,31983,19462,138986
streaming_fma,L2_ARR_LENGTH,299481,189050,836918,781746,493416,2184612
streaming_fma,L3_ARR_LENGTH,603380,443886,1.47887e+06,1574884,1158542,3861136
streaming_fma,DRAM_ARR_LENGTH,3.36992e+06,2.45932e+06,7.78905e+06,8798182,6420566,20337832
reduction,L1_ARR_LENGTH,43004.7,42268,48347,112188,110302,125798
reduction,L2_ARR_LENGTH,1.06529e+06,1.05861e+06,1.08199e+06,2781353,2764052,2825098
reduction,L3_ARR_LENGTH,2.13975e+06,2.12517e+06,2.16926e+06,5586484,5548736,5663882
reduction,DRAM_ARR_LENGTH,1.06613e+07,1.06365e+07,1.06902e+07,27836125,27771026,27911722
element_multiply,L1_ARR_LENGTH,7364.7,6369,11280,19165,16564,29360
element_multiply,L2_ARR_LENGTH,196054,181130,251918,511586,472694,656978
element_multiply,L3_ARR_LENGTH,416186,402550,436234,1086103,1050624,1138780
element_multiply,DRAM_ARR_LENGTH,2.56096e+06,2.52233e+06,2.64525e+06,6685860,6585082,6906408
