kernel,length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
streaming_fma,L1_ARR_LENGTH,2941.2,2582,5187,7496,6580,13008
streaming_fma,L2_ARR_LENGTH,120784,107571,190033,315021,280688,495800
streaming_fma,L3_ARR_LENGTH,314450,263668,439445,820096,687828,1146892
streaming_fma,DRAM_ARR_LENGTH,2.27464e+06,2.13865e+06,2.43223e+06,5937472,5582422,6348888
reduction,L1_ARR_LENGTH,29.9,28,35,20,20,22
reduction,L2_ARR_LENGTH,29.8,28,39,20,20,22
reduction,L3_ARR_LENGTH,29.1,28,30,20,20,22
reduction,DRAM_ARR_LENGTH,80.5,27,130,68,18,136
element_multiply,L1_ARR_LENGTH,38.7,36,51,26,26,30
element_multiply,L2_ARR_LENGTH,27.2,25,35,18,18,20
element_multiply,L3_ARR_LENGTH,26.4,25,33,18,18,20
element_multiply,DRAM_ARR_LENGTH,121.3,33,647,202,18,1562
