length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
5000,2328.6,2305,2428,6000,5960,6068
10000,4981.9,4961,5002,12948,12894,13002
15000,6904.4,6870,7045,17970,17882,18336
20000,10521.6,9935,15637,27393,25884,40576
25000,11458.8,11431,11495,29861,29788,29954
30000,14906.6,14874,14943,38863,38780,38960
35000,16502,15996,20428,43026,41708,53284
40000,19931,19909,19952,51979,51924,52032
45000,21207.1,21121,21266,55302,55044,55468
50000,25110.8,24363,28183,65498,63544,73520
55000,25106.6,19487,28165,65480,50788,73440
60000,21191.6,20456,23533,55265,53338,61382
65000,23501.1,22001,25263,61289,57380,65892
70000,24238.7,23722,26166,63217,61868,68256
75000,25593.7,25421,26401,66746,66292,68854
80000,30454.8,27954,36247,79429,72908,94540
85000,29536.6,28881,31734,77039,75326,82780
90000,33435,32264,34575,87216,84148,90196
95000,32250,32178,32422,84113,83930,84568
100000,35141.6,34131,37310,91648,89038,97332
105000,36649.7,35648,39907,95572,92976,104086
110000,38908.7,37895,42917,101466,98824,111866
115000,39429.7,38923,40676,102815,101516,105846
120000,41324.6,40882,43051,107783,106640,112280
125000,43412.2,42452,45121,113194,110690,117666
130000,46197.4,44499,48312,120462,116026,125984
135000,46704.8,45917,48964,121795,119736,127664
140000,50489.2,48658,53000,131660,126884,138164
145000,51492.1,49578,59923,134270,129274,156252
150000,52184.4,50985,53543,136107,132972,139668
155000,54561.3,52991,60523,142309,138212,157832
160000,56537.7,54757,59221,147465,142832,154434
165000,60659.4,57661,64731,158216,150338,168812
170000,62612.3,58988,70896,163329,153872,184884
175000,63287.4,61569,66565,165092,160604,173676
180000,63238.3,61505,65810,164949,160426,171660
185000,64117.6,62817,66837,167252,163862,174338
190000,66457.4,64782,69101,173354,168984,180202
195000,67415.3,66555,68697,175862,173620,179214
200000,73889.4,70924,78074,192776,184996,203708
205000,71593.6,69765,78285,186759,181996,204178
210000,74133.4,71744,80339,193412,187192,209580
215000,82413,77580,90327,215018,202420,235658
220000,81491.8,77927,85426,212619,203330,222884
225000,77580.4,76374,81326,202410,199240,212214
230000,79295.6,78154,81475,206893,203916,212592
235000,86711.5,83110,91792,226243,216870,239508
240000,84179.6,82347,87550,219633,214858,228396
245000,85543,83422,93742,223189,217662,244558
250000,87952.2,85617,91401,229476,223404,238494
255000,96469,93246,100437,251742,243338,262086
260000,94245.1,91872,97096,245929,239746,253322
265000,97050.8,93444,106111,253250,243832,276878
270000,93291.4,91789,94696,243434,239508,247106
275000,97352.8,93960,102619,254030,245184,267710
280000,105574,97880,111521,275459,255422,290790
285000,102966,99306,106203,268677,259134,277096
290000,106351,102793,110967,277513,268238,289526
295000,110520,107256,118892,288415,279804,310222
300000,117344,107072,126474,306225,279410,330064
305000,116954,110988,133955,305205,289638,349564
310000,112981,109416,121061,294822,285472,315870
315000,112843,106889,118817,294459,278942,310082
320000,115392,110452,126428,301140,288248,329946
325000,115806,111500,125278,302213,290970,326936
330000,121436,115464,133436,316911,301330,348174
335000,118928,113926,124326,310355,297318,324426
340000,127486,118283,136923,332711,308684,357366
345000,131591,122678,141381,343429,320156,368924
350000,127502,119107,135526,332767,310828,353740
355000,126133,120444,130746,329192,314356,341262
360000,128698,123469,137278,335890,322242,358248
365000,132118,127010,143347,344803,331470,374074
370000,134384,127364,141663,350734,332404,369726
375000,133549,127929,143039,348554,333882,373280
380000,144744,136210,148696,377775,355510,388076
385000,150348,140870,156355,392423,367674,408120
390000,151252,146553,158744,394741,382486,414246
395000,142206,135384,150252,371131,353296,392012
400000,146836,137386,160224,383228,358558,418082
405000,143731,139087,148996,375135,363012,388916
410000,149739,141299,165403,390830,368800,431718
415000,149294,142115,162547,389646,370940,424266
420000,155025,151163,160613,404608,394532,419188
425000,156313,147755,165781,407985,385664,432692
430000,164061,155285,173141,428213,405276,451958
435000,156388,149023,165909,408176,388950,433068
440000,162189,154407,171524,423320,402998,447720
445000,160326,152591,176118,418413,398286,459480
450000,169844,155700,183405,443261,406388,478526
455000,167286,160004,176443,436612,417632,460488
460000,166809,158749,175872,435357,414356,458810
465000,173331,164318,188573,452433,428924,492078
470000,190156,181918,201994,496344,474878,527140
475000,176379,168085,193265,460372,438724,504480
480000,179453,165931,186325,468372,433098,486344
485000,173720,165881,187111,453445,432984,488350
490000,177103,167314,185938,462230,436712,485338
495000,177226,169031,188433,462587,441194,491856
500000,187357,180102,198839,489052,470110,518990
505000,183838,174389,194718,479825,455184,508228
510000,189229,181457,199546,493941,473648,520890
515000,194651,185175,203439,508059,483388,530978
520000,199674,188124,211219,521131,491062,551366
525000,187167,179793,192298,488565,469326,501946
530000,193849,187089,203430,505991,488346,531018
535000,196787,186223,212014,513613,486092,552892
540000,200688,189996,212912,523856,495974,555650
545000,196626,190946,204658,513253,498424,534248
550000,218969,209258,228130,571532,546250,594828
555000,215627,204140,225473,562769,532856,588530
560000,221474,214297,234457,578103,559398,612014
565000,213381,200447,236942,556959,523246,618236
570000,218304,210698,225182,569758,549972,587788
575000,208955,202074,217850,545464,527498,568678
580000,221084,208320,239911,577106,543780,626276
585000,218022,210114,226575,569080,548440,591446
590000,219258,208593,233576,572269,544440,609522
595000,220502,209061,232302,575553,545672,606360
600000,243202,223724,256141,634760,583986,668590
605000,233408,221575,251401,609074,578356,656090
610000,233504,225770,243711,609472,589312,636182
615000,240468,231803,250251,627604,605062,652928
620000,240634,228155,262991,628108,595580,686372
625000,237652,230041,246195,620261,600500,642626
630000,246590,238387,261201,643616,622278,681558
635000,256013,248427,273189,668266,648500,712900
640000,252017,241351,262625,657751,630012,685332
645000,265796,258451,272023,693734,674588,709942
650000,256630,245984,269706,669786,642056,703664
655000,257184,245896,273167,671293,641888,712396
660000,263560,250901,272441,687978,654962,711168
665000,254480,248927,264950,664250,649786,691582
670000,272368,262704,307563,710752,685776,802372
675000,270865,255357,301870,706971,666584,787504
680000,272092,261183,283343,710172,681770,739304
685000,276873,261990,290540,722619,683846,757636
690000,280109,269921,303775,731105,704582,792706
695000,280656,266981,307772,732517,696920,803422
700000,287790,279245,301948,751158,728946,788208
705000,279503,273219,288868,729569,713202,754072
710000,296547,283722,328349,773921,740654,856640
715000,288575,279035,307929,753221,728432,803864
720000,305520,295913,332429,797407,772456,867634
725000,303456,290198,316030,791819,757560,824342
730000,307325,300507,322879,802078,784402,842344
735000,298427,289267,308662,778782,754936,805346
740000,307353,292879,328091,802126,764568,855494
745000,302617,286858,326761,789700,748762,852524
750000,314134,297983,360681,819776,777636,941142
755000,304733,299823,314884,795355,782554,821456
760000,322221,310656,335120,840794,810960,874366
765000,311901,307373,318751,814010,802144,831836
770000,325912,316664,344570,850305,826550,898450
775000,320290,309349,343253,835925,807452,895820
780000,322328,314424,333827,841287,820828,871248
785000,325267,311308,366011,848858,812658,955166
790000,331070,323993,337694,863476,845322,881126
795000,340252,321784,360769,887676,839774,941114
800000,332326,325792,342357,867302,850450,893454
805000,346183,332166,363771,903210,867106,948682
810000,338660,327445,352326,883856,854720,919102
815000,357667,345596,385360,933164,901996,1004820
820000,351027,334531,382245,915984,873288,996902
825000,353532,337554,402110,922568,881156,1049080
830000,355530,345181,382729,927589,900776,998106
835000,357221,340834,392200,932137,889698,1023310
840000,365617,351771,402703,954014,918158,1050584
845000,357812,350339,373692,933884,914416,975386
850000,363089,350783,388989,947310,915702,1014140
855000,369747,359913,407193,964838,939294,1062774
860000,373444,359557,404415,974431,938576,1055256
865000,377611,357333,420348,985308,932356,1096578
870000,376349,362213,405630,982171,945428,1058448
875000,371884,364078,385254,970606,950274,1005482
880000,387328,376318,411438,1010876,982334,1073606
885000,395766,375444,432481,1032520,979958,1128174
890000,394714,379175,417249,1029914,989836,1088480
895000,379142,367963,396931,989264,960394,1035160
900000,395426,387891,415401,1031907,1012404,1083568
905000,390703,383385,401154,1019554,1000268,1046778
910000,399045,386653,414535,1041398,1009252,1081748
915000,407162,387338,453779,1062139,1010350,1183994
920000,404641,392085,429872,1055997,1023360,1121782
925000,402486,390592,414366,1049907,1019038,1079976
930000,408871,392461,424052,1066904,1024352,1105732
935000,408127,393518,421113,1064808,1026834,1098430
940000,417586,409642,434181,1089796,1069148,1132834
945000,426560,402294,454355,1112946,1049790,1184650
950000,412052,403172,422834,1075318,1052346,1102744
955000,422938,403714,478292,1103589,1053900,1247934
960000,416066,407142,432225,1085752,1062498,1128168
