length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
5000,1590.8,1424,1855,3948,3540,4414
10000,2864.8,2730,3519,7306,6962,9010
15000,3042.2,2955,3689,7817,7584,9510
20000,4052.8,3953,4677,10446,10190,12074
25000,6015.8,4754,11684,15569,12294,30352
30000,5614.1,5517,6265,14532,14268,16216
35000,6675.6,6498,7537,17296,16832,19524
40000,7361.6,7039,9510,19092,18236,24718
45000,8298.6,8115,8830,21516,21046,22852
50000,9142.2,8886,10541,23736,23060,27380
55000,9608.4,9186,10567,24952,23868,27418
60000,10092.5,9961,10920,26228,25886,28380
65000,11199.2,10858,13368,29115,28230,34782
70000,12359.5,12061,14269,32141,31382,37092
75000,13234.2,12803,14335,34415,33306,37296
80000,15406,14901,17216,40064,38760,44798
85000,17333,16204,20771,45107,42178,54038
90000,23291,20927,39259,60683,54510,102376
95000,23160.7,22205,29936,60326,57830,77946
100000,23069.4,22206,27314,60058,57826,71104
105000,25920.3,23698,27797,67527,61740,72362
110000,30327.7,29233,30636,79034,76170,79836
115000,34025.3,33087,34262,88689,86192,89322
120000,32705.8,30648,38695,85204,79876,100818
125000,41344.7,41134,41615,107707,107168,108418
130000,46955.5,43290,52140,122327,112722,135914
135000,50748.9,47210,52176,132251,122984,135992
140000,44816.6,43550,50483,116709,113470,131456
145000,51599.2,46470,60281,134385,121064,157016
150000,65997.7,58463,76875,171986,152174,200456
155000,69169.2,62055,75827,180260,161678,197644
160000,77778.3,64670,129238,202766,168590,337172
165000,62956.6,57325,102247,164031,149424,266598
170000,64352.8,59126,103793,167607,154032,270702
175000,67045.1,61628,101720,174759,160670,265294
180000,66684.2,63730,73800,173747,166064,192294
185000,71537.3,65808,104770,186477,171564,273282
190000,93385.9,69620,125915,243528,181420,328508
195000,77174.1,70212,108785,201182,182956,283744
200000,102723,90497,133631,267872,235932,348472
205000,87721.5,74661,105799,228670,194634,275966
210000,77831.9,76055,84850,202903,198294,221216
215000,79963,78498,86760,208454,204718,226190
220000,89038.6,80451,108594,232102,209794,283204
225000,84310.3,82755,91538,219786,215812,238598
230000,86331.3,84660,93796,225048,220736,244670
235000,111822,87275,158029,291398,227392,412012
240000,91913.6,88568,100483,239658,230950,261904
245000,97335.1,90858,128568,253829,236888,335414
250000,126470,102455,154648,329864,267212,403476
